openlibrary_id,title,authors,first_publish_year,subjects,edition_count,work_key,cover_id,type,genre,summary
OL13691921W,The warded man,Peter V. Brett,2009.0,"Fiction, Imaginary wars and battles, Demonology, Fantasy, Fiction, fantasy, general, Fiction, thrillers, suspense",3,/works/OL13691921W,6394990.0,fiction,Fantasy,
OL13693887W,Pandemonium,Daryl Gregory,2008.0,"Fiction, Demoniac possession, Supernatural, Alternative histories (Fiction), Fantasy, Paranormal fiction, Fiction, fantasy, general",4,/works/OL13693887W,7094349.0,fiction,Fantasy,
OL13703630W,The Stepsister Scheme,Jim C. Hines,2009.0,"Fantasy, Fiction, Kidnapping, Young adult fiction, Stepsisters, Cinderella (Legendary character), Fairy tales, Young adults, Fiction, fantasy, general",3,/works/OL13703630W,5543135.0,fiction,Fantasy,
OL13711022W,"Sakura Taisen, Vol. 1","Ohji Hiroi, Ikku Masa, Kosuke Fujishima",2005.0,"Samurai, Fiction, Robots, Demonology, Theater, Navies, Officers, Imaginary wars and battles, Nineteen twenties, Actors and actresses, Comic books, strips, Comics & Graphic Novels, Graphic Novels-Manga, Graphic Novels - Manga, Comics & Graphic Novels / Graphic Novels / Manga, Fantasy, Cartoons and comics, Performing arts, Comics & graphic novels, east asian style, manga, fantasy",5,/works/OL13711022W,8206181.0,fiction,Fantasy,
OL13716951W,The Tales of Beedle the Bard,J.K. Rowling,2008.0,"Magicians, Magic, Hogwarts School of Witchcraft and Wizardry (Imaginary place), Warlocks, Fairy tales, Children's stories, English, Fantasy, Wizards, New York Times bestseller, Fiction, Short stories, nyt:series_books=2006-09-16, Juvenile fiction, Witches, Hogwarts School of Witchcraft and Wizardry (Imaginary organization), Fantasy fiction, Children's fiction, Wizards, fiction, Magic, fiction, Witches, fiction, French language materials, Juvenile literature, Poudlard (Organisation imaginaire), Romans, nouvelles, etc. pour la jeunesse",45,/works/OL13716951W,13776199.0,fiction,Fantasy,
OL13731150W,The Hundred Thousand Kingdoms,N. K. Jemisin,2010.0,"Gods, Fantasy, Fiction, characters of color, Fiction, fantasy, epic, Gods and goddesses, Secrets, Long now manual for civilization, collection:otherwise_tiptree_award=honor",14,/works/OL13731150W,7716902.0,fiction,Fantasy,
OL13734716W,Dragon Knights,Mineko Ōkami,2003.0,"Juvenile fiction, Cartoons and comics, Fantasy, Heroes, Fiction, Comic books, strips, Translations into English, Graphic novels, Comics & graphic novels, east asian style, manga, fantasy, Comics & graphic novels, fantasy, general",10,/works/OL13734716W,11622246.0,fiction,Fantasy,
OL13734733W,Kazan,Gaku Miyao,2001.0,"Adventure and adventurers, Juvenile fiction, Fiction, Water, Fantasy, Princesses, Cartoons and comics, Friendship, Comic books, strips, Graphic novels, Fiction, action & adventure, Comics & graphic novels, east asian style, manga, general",7,/works/OL13734733W,8151161.0,fiction,Fantasy,
OL13760002W,The bride of time,Dawn Thompson,2008.0,"Fiction, Werewolves, Women domestics, Women household employees, Fantasy, Romance",3,/works/OL13760002W,6395687.0,fiction,Fantasy,
OL13761879W,"Wings (Wings Series, Book 1)",Aprilynne Pike,2009.0,"Fiction, Plants, Fairies, Interpersonal relations, Trolls, Juvenile Fiction, Science Fiction & Fantasy, Fifteen-year-old girls, Teenage girls, Fantasy, High school, Good and evil, Children's fiction, Fairies, fiction, Plants, fiction, Interpersonal relations, fiction, Fantasy fiction, Large type books, nyt:chapter-books=2009-05-24, New York Times bestseller, Young adult fiction",6,/works/OL13761879W,7104410.0,fiction,Fantasy,
OL13763310W,The red wolf conspiracy,Robert V. S. Redick,2009.0,"Sailing ships in fiction, Sailing ships, Fiction, Fantasy, Young women, fiction, Fiction, fantasy, general, Marriage, fiction",3,/works/OL13763310W,6305456.0,fiction,Fantasy,
